Rank,NCTId,HealthyVolunteers,Gender,MinimumAge,MaximumAge,EligibilityCriteria
1,NCT04879264,No,Female,18,80,"Inclusion Criteria:||Female patient with histologically proven breast cancer|Indication for radiotherapy|Sleep disorders (i.e. at least 2 points on the sleep disorder self-rating scale)|Eastern Cooperative Oncology Group (ECOG) performance score 0-2|Age ≥18 years|Written informed consent|Capacity of the patient to contract||Exclusion Criteria:||Pregnancy, Lactation|Expected non-compliance (patient unable to use the seizure diary)"
2,NCT04543175,No,Female,20,60,Inclusion Criteria:||- Chemotherapy with Doxorubicin + Cyclophosphamide (DC) or Paclitaxel + Carboplatin (PC) or Docetaxel.||Exclusión Criteria:||No smokers Infections in oral cavity Acute respiratory diseases Gastro- oesophageal reflux disease Other types of cancer.
3,NCT04406779,,Female,18,65,"Inclusion Criteria:||women, the age between 18-65 years who were diagnosed with breast cancer, but not underwent surgery, radiotherapy or chemothreapy were included into the study||Exclusion Criteria:||Those with pregnancy, known liver and renal failure, the history of any malignancy other than breast cancer, undergoing a surgical operation due to breast cancer, also those receiving chemotherapy/radiotherapy for the same reason or undergoing partial or complete thyroid surgery or a surgical operation within the past 6 months, and also the patients taking oral anti-diabetic medication, insulin, steroids, thiazide, anti-psychotics and immuno-suppressive medicines affecting the levels of blood glucose, insulin and IR, smokers and those consuming alcohol were excluded"
4,NCT04515888,No,Female,50,,"Inclusion Criteria:||Women with Age ≥ 50 years|Menopaused|Patient followed for carcinoma in situ or infiltrating the breast with or without hormone therapy|Patient who was treated by surgery after June 2015, whether or not followed by radiotherapy or chemotherapy.|Patient who agreed, after receiving information, to participate to the study.||Exclusion Criteria:||Metastatic breast cancer|Patient with a history of pelvic static surgery|Patient with a history of pelvic irradiation|Patient unable or unwilling to complete the questionnaires|Patient with a history of urinary incontinence treatment|Patient not affiliated to the French social security system|Subject under tutelage, curatorship or safeguard of justice,|Patient in an emergency situation,|Patient whose regular monitoring is impossible for psychological, family, social or geographical reasons,|Pregnant and / or breastfeeding woman."
5,NCT03095352,No,All,18,,"Inclusion Criteria:||Advanced breast cancer with locally recurrent chest wall disease not amenable to surgical excision with curative intent.||Distant sites of disease are allowed|Prior radiation to the chest wall is not required||The following disease subtypes are eligible:||Triple negative disease (defined as ER < 10%, PR < 10%, HER2 negative)|Hormone receptor positive, HER2 negative disease with evidence of progression on at least two prior lines of hormone therapy, unless, per treating investigator's judgement, is not considered a candidate for further endocrine therapy||HER2 positive disease with evidence of disease progression on trastuzumab, pertuzumab, T-DM1 and oral tyrosine kinase inhibitor unless contraindicated with no other HER2 targeted therapy options available. Patients in this category will be classified by ER status||Histologically confirmed HER2+ breast carcinoma, with HER2+ defined by in situ hybridization (ISH) or fluorescence in situ hybridization (FISH) or immunohistochemistry (IHC) methodology using standard criteria.|Cardiac function must be determined within 4 weeks of study entry to be >= institutional lower limit of normal (LLN) using echo or multiple gated acquisition scan (MUGA).||Any number of prior lines of therapy are allowed. a Prior platinum based therapy is allowed in the following settings:||Treatment in the neoadjuvant and/or adjuvant setting without clear progression of disease.|Treatment in the metastatic setting without clear progression of disease.|At least two weeks from last systemic therapy for breast cancer, with recovery of all treatment related toxicity to grade 1 or less. Subjects with <= Grade 2 neuropathy are an exception to this criterion.|At least two weeks from last radiation therapy, with recovery of all treatment related toxicity to grade 1 or less (excluding alopecia).|Prior CNS disease is allowed if stable for at least one month since whole brain radiation therapy, and 2 weeks since stereotactic radiotherapy, and not requiring steroids. Patients whose CNS disease was surgically treated may be enrolled if stable for at least one month, and not requiring steroids.|Able to provide tissue from a newly obtained core or excisional biopsy of a chest wall tumor lesion. Newly-obtained is defined as a specimen any time after the last systemic or local therapy utilized to treat the disease. Subjects for whom newly-obtained samples cannot be provided (e.g. inaccessible or subject safety concern) may submit an archived specimen only upon agreement from the Sponsor.|Willing and able to provide written informed consent.|Greater than or equal to 18 years of age on day of signing informed consent.|Eastern Cooperative Oncology Group (ECOG) performance status of less than or equal to 2.||Adequate organ function as defined below within 10 business days of treatment initiation:||Absolute neutrophil count (ANC) >=1,000 /microliter (mcL)|Platelets>=100,000 / mcL|Hemoglobin ≥9 g/dL or ≥5.6 mmol/L without transfusion or erythropoietin (EPO) dependency (within 7 days of assessment)|Serum creatinine OR Measured or calculated* creatinine clearance (GFR can also be used in place of creatinine or CrCl) <=1.5 X upper limit of normal (ULN) OR >=60 mL/min for subject with creatinine levels > 1.5 X institutional ULN. Creatinine clearance should be calculated per institutional standard.|Serum total bilirubin ≤ 1.5 X ULN OR Direct bilirubin <= ULN for subjects with total bilirubin levels > 1.5 ULN|Aspartate aminotransferase (AST) (SGOT) and Alanine aminotransferase (ALT) (SGPT) ≤ 2.5 X ULN OR ≤ 5 X ULN for subjects with liver metastases|Albumin >2.5 g/dL|International Normalized Ratio (INR) or Prothrombin Time (PT) <=1.5 X ULN unless subject is receiving anticoagulant therapy as long as PT or PTT is within therapeutic range of intended use of anticoagulants|Activated Partial Thromboplastin Time (aPTT) <=1.5 X ULN unless subject is receiving anticoagulant therapy as long as PT or PTT is within therapeutic range of intended use of anticoagulants|Female subjects of childbearing potential should have a negative urine or serum pregnancy within 72 hours prior to receiving the first dose of study medication. If the urine test is positive or cannot be confirmed as negative, a serum pregnancy test will be required.|Female subjects of childbearing potential should be willing to use an acceptable form of birth control or be surgically sterile, or abstain from heterosexual activity for the course of the study through 120 days after the last dose of study medication (Reference Section 5.7.2). Subjects of childbearing potential are those who have not been surgically sterilized or have not been free from menses for > 1 year.|Male subjects should agree to use an adequate method of contraception starting with the first dose of study therapy through 120 days after the last dose of study therapy.||Exclusion Criteria:||Treatment with an investigational agent within 4 weeks of the first dose of treatment.|A diagnosis of immunodeficiency or is currently receiving systemic steroid therapy at any dose or is receiving any other form of immunosuppressive therapy. Steroid therapy is not allowed within 7 days prior to the first dose of trial treatment. However, topical and intranasal corticosteroids are allowed, and not an exclusion for participation.|Known active TB (Bacillus Tuberculosis). Patients with a distant history of tuberculosis that was appropriately treated and have no evidence of active infection are eligible to participate. Patients with a history of latent tuberculosis that was appropriately treated are also eligible to participate.|Hypersensitivity to pembrolizumab or any of its excipients.|Hypersensitivity to carboplatin or cisplatin||Has had prior chemotherapy, targeted small molecule therapy, or radiation therapy within 2 weeks prior to study Day 1 or who has not recovered (i.e., ≤ Grade 1 or at baseline) from adverse events due to a previously administered agent.||Note: Subjects with ≤ Grade 2 neuropathy are an exception to this criterion.|Note: If subject received major surgery, they must have recovered adequately from the toxicity and/or complications from the intervention prior to starting therapy.|Has a known additional malignancy that is progressing or requires active treatment. Exceptions include basal cell carcinoma of the skin or squamous cell carcinoma of the skin that has undergone potentially curative therapy or in situ cervical cancer.|Has known active central nervous system (CNS) metastases and/or carcinomatous meningitis.|Has active autoimmune disease that has required systemic treatment in the past 2 years (i.e., with use of disease modifying agents, corticosteroids or immunosuppressive drugs). Replacement therapy (e.g., thyroxine, insulin, or physiologic corticosteroid replacement therapy for adrenal or pituitary insufficiency, etc.) is not considered a form of systemic treatment.|Has a history of (non-infectious) pneumonitis/interstitial lung disease that required steroids or has current pneumonitis/ interstitial lung disease|Has an active infection requiring systemic therapy.|Has a history or current evidence of any condition, therapy, or laboratory abnormality that might confound the results of the trial, interfere with the subject's participation for the full duration of the trial, or is not in the best interest of the subject to participate, in the opinion of the treating investigator.|Has known psychiatric or substance abuse disorders that would interfere with cooperation with the requirements of the trial.|Is pregnant or breastfeeding, or expecting to conceive or father children within the projected duration of the trial, starting with the pre-screening or screening visit through 120 days after the last dose of trial treatment.|Has received prior therapy with an anti-PD-1, anti-PD-L1, or anti-PD-L2 agent. Has been on any prior Merck MK-3475 (pembrolizumab) studies.|Has a known history of Human Immunodeficiency Virus (HIV) (HIV 1/2 antibodies).|Has known active Hepatitis B virus (HBV) [e.g., hepatitis B surface antigen (HBsAg) reactive] or Hepatitis C virus (HCV) [e.g., HCV ribonucleic acid (RNA), [qualitative] is detected].|Has received a live vaccine or live-attenuated vaccine within 30 days prior to the first dose of study drug. Administration of killed vaccines is allowed."
6,NCT02946619,No,Female,18,,Inclusion Criteria:||1) having a breast cancer diagnosis; 2) completing breast cancer surgery within five years; and 3) being comfortable writing and speaking Chinese (i.e. Mandarin or Cantonese)
7,NCT00234195,No,Female,18,,"Inclusion Criteria:||Women aged 18 years or older|Diagnosis of breast cancer, confirmed by histopathology; Stages 0, I, II, IIIA, or IIIB|Clinical diagnosis of Major Depressive Disorder (DSM-IV-TR)|Hospital Anxiety and Depression Scale (Zigmond and Snaith, 1983) depression subscale score of 11 or greater|Montgomery Asberg Depression Rating Scale (MADRS; Montgomery and Asberg, 1979) score of 25 or greater at Screening and Baseline visits|Use of antidepressants in a previous episode of major depression or in the past for any other indication does not affect the patient's inclusion in this study.|During the current episode of major depressive disorder, as stated in the Exclusion criteria, failure to respond to one or more adequate trials of an antidepressant will exclude the patient from the study since this is not a study of ""treatment-resistant depression"".|During the study, the patient may not use any other antidepressants.||Exclusion Criteria:||Presence of another current clinically significant Axis I disorder like bipolar disorder, schizophrenia, or panic disorder|Current (in past 6 months) comorbid active substance abuse or dependence|Failure to respond to one or more adequate trials of an antidepressant in the current episode of MDD|A reduction in MADRS score of 20% or greater from Screening to Baseline visit|Clinically significant laboratory abnormalities that in the judgment of the Investigator would increase risk of adverse effects with bupropion|Pregnant or lactating women|History of an eating disorder, seizures, head injury, or other intracranial pathology because these conditions are usually contraindications to the use of bupropion XL|Previous allergy or intolerance to bupropion|Patients judged to be at significant suicidal risk"
8,NCT01188915,No,Female,18,,Inclusion Criteria:||women > 18 years|treated for Hodgkin disease|signed informed consent|high risk of breast cancer||Exclusion Criteria:||patients unable to have a regular follow-up
9,NCT00165308,No,Female,18,35,"Inclusion Criteria:||Females diagnosed with Hodgkin's Disease at age < 35 years|> 5 years from mantle or chest radiation|Current age > 30 years|Has completed childbearing|Willingness to discontinue use of oral contraceptives or other hormonal contraception for duration of the study||Exclusion Criteria:||History of secondary malignancy after Hodgkin's disease, except thyroid cancer of basal cell cancer|Recurrence of Hodgkin's disease in the 5 years before study entry|Current participation in any other cancer prevention study|Current or prior use of tamoxifen|Current use of coumadin|History of deep venous thrombosis, pulmonary embolism, or a condition known to be associated with hypercoagulability|History of cerebrovascular accident|History of macular degeneration|Current use of chemotherapy for benign disease"
10,NCT03818685,No,Female,18,,"Inclusion Criteria:||Female patient 18 years of age on day of signing informed consent form.|Histologically proven TNBC defined as follows : HER2 negativity must be confirmed (by one of the following: Fluorescence in situ hybridization (FISH) negative (FISH ratio <2.2), or Immunohistochemistry (IHC): 0-1+, or IHC 2-3+ and FISH-negative (FISH ratio <2.2)) and less than 1% of cells stained by immunohistochemistry (IHC) for ER and PR as per ASCO guidelines.|TNBC previously treated by : Standard neoadjuvant chemotherapy containing anthracycline and taxanes and Surgery.|TNBC patients currently treated by post-operative radiotherapy as per standard and/or institutional guidelines.|No radiological evidence of metastatic disease documented by a CT-Scan of Chest abdomen and pelvis.|Residual disease with RCB of Class II or III documented before randomisation using the surgery specimen.|Availability of a representative formalin-fixed paraffin-embedded (FFPE) tumor block from surgery specimen with its histological report.|Eastern Cooperative Oncology Group (ECOG) Performance Status 0 or 1.|Adequate end organ and bone marrow function as defined in protocol. All screening lab tests should be performed within 7 days before C1D1.|Absence of significant treatment-related toxicity i.e. > Grade 1 as per CTCAE v5.0, except alopecia (all grades are acceptable), neuropathy (Grade 2 is acceptable) or biological values as defined in protocol.|Minimal wash-out period for prior treatments (i.e. minimal delay from last dose of prior treatment to C1D1): any investigational agent > 4 weeks (or 5 half-lives whichever is longer with a minimum of 2 weeks), any monoclonal antibody > 4 weeks, any targeted therapies > 4 weeks, - live vaccine > 4 weeks, systemic steroids at doses higher than 10 mg/day prednisone equivalent or other immunosuppressive agents > 3 weeks, sorivudine or its chemically related analogues such as brivudine > 4 weeks.|Women of child-bearing potential must have a negative serum pregnancy test within 7 days before C1D1.|Women of child-bearing potential must agree to use 1 effective form of contraception from the time of the negative pregnancy test up to 5 months after the last dose of study drugs.|Patient should understand, sign, and date the written voluntary informed consent form at the screening visit prior to any protocol-specific procedures performed.|Patient should be able and willing to comply with study visits and procedures as per protocol.|Patients must be covered by a medical insurance.||Exclusion Criteria:||Patient has a metastatic TN breast cancer.|Patient has previously received therapy with an anti- PD-1, anti- PD-L1, or anti-CTLA4 or any other immunotherapies.|Patient has a known additional malignancy that is progressing or requires active treatment. Exceptions include basal cell carcinoma of the skin, squamous cell carcinoma of the skin, or in situ cervical cancer that has undergone curative therapy and other completely treated prior malignancy if no evidence of disease for ≥ 2 years.|Patient presents a contraindication to Nivolumab or Ipilimumab treatment as per respective SPC including known hypersensitivity to one of these study drugs or severe hypersensitivity reaction to any monoclonal antibody.|Patient presents a contraindication to Capecitabine treatment as per SPC including : 1) History of severe and unexpected reactions to fluoropyrimidine therapy, 2) Hypersensitivity to Capecitabine or to any of the excipients listed in SPC or fluorouracil, 3) Patients with known complete absence of dihydropyrimidine dehydrogenase activity, 4) Treatment with sorivudine or its chemically related analogues, such as brivudine, 5) any contraindication listed in respective SPC.|Patient has active autoimmune disease that has required systemic treatment in the past 3 months before C1D1 or a documented history of clinically severe autoimmune disease, or a syndrome that requires systemic steroids at doses higher than 10 mg/d prednisone equivalents or immunosuppressive agents.|Patient requires the use of one of the following forbidden treatment during the study treatment period: any investigational anticancer therapy other than the protocol specified thérapies, any concurrent chemotherapy, immunotherapy, biologic for cancer treatment, other than the ones stated in the protocol. Concurrent use of hormones for non-cancer-related conditions (e.g., insulin for diabetes and hormone replacement therapy) is acceptable, major surger, live vaccines, immunosuppressive agents and immunosuppressive high doses of systemic corticosteroids i.e. doses >10 mg/d prednisone or equivalent, sorivudine or its chemically related analogues such as brivudine and any treatment contra-indicated as per Capecitabine SPC.|History of idiopathic pulmonary fibrosis (including pneumonitis), drug-induced pneumonitis, organizing pneumonia (i.e. bronchiolitis obliterans, cryptogenic organizing pneumonia), or evidence of active pneumonitis on screening chest CT scan.|Significant cardiovascular disease, such as New York Heart Association cardiac disease (Class II or greater), myocardial infarction within 3 months prior to C1D1 unstable arrhythmias or unstable angina, Known Left Ventricular Ejection Fraction (LVEF) < 50%.|Patient has a known history of active Bacillus Tuberculosis.|Patient has an active infection requiring systemic therapy.|Patient has Active hepatitis B (chronic or acute; defined as having a positive hepatitis B surface antigen [HBsAg] test at screening), Active hepatitis C (Patients positive for hepatitis C virus (HCV) antibody are eligible only if PCR is negative for HCV RNA at screening) or Human Immunodeficiency Virus (HIV) infection (HIV 1/2 antibodies).|Prior allogeneic bone marrow transplantation or solid organ transplant in the past.|Has a history or current evidence of any condition, therapy, or laboratory abnormality that might confound the results of the trial, interfere with the subject's participation for the full duration of the trial, or is not in the best interest of the subject to participate, in the opinion of the treating Investigator.|Has known psychiatric or substance abuse disorders that would interfere with cooperation with the requirements of the trial.|Is pregnant or breastfeeding, or expecting to conceive children within the projected duration of the trial, starting with the screening visit through 5 months after the last dose of study drugs."
